name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East Laurel Avenue,0,5587228,0,1,1,337.39,,,,residential,6,"LINESTRING (-111.7860370 33.3584223, -111.7856699 33.3586027, -111.7854469 33.3587592, -111.7843735 33.3597347, -111.7841482 33.3599219, -111.7839664 33.3600138, -111.7837809 33.3600868, -111.7835657 33.3601428, -111.7833646 33.3601715, -111.7832000 33.3601748)",auto,1,0,,
East Laurel Avenue,1,5587228,1,0,1,337.39,,,,residential,6,"LINESTRING (-111.7832000 33.3601748, -111.7833646 33.3601715, -111.7835657 33.3601428, -111.7837809 33.3600868, -111.7839664 33.3600138, -111.7841482 33.3599219, -111.7843735 33.3597347, -111.7854469 33.3587592, -111.7856699 33.3586027, -111.7860370 33.3584223)",auto,1,0,,
South Neely Street,2,5587980,2,3,1,24.47,1,,,tertiary,5,"LINESTRING (-111.7982926 33.3496796, -111.7982930 33.3494589)",auto,1,0,,
South Neely Street,3,5587980,3,2,1,24.47,1,,,tertiary,5,"LINESTRING (-111.7982930 33.3494589, -111.7982926 33.3496796)",auto,1,0,,
South Neely Street,4,5587980,3,4,1,307.96,1,,,tertiary,5,"LINESTRING (-111.7982930 33.3494589, -111.7983051 33.3466812)",auto,1,0,,
South Neely Street,5,5587980,4,3,1,307.96,1,,,tertiary,5,"LINESTRING (-111.7983051 33.3466812, -111.7982930 33.3494589)",auto,1,0,,
South Neely Street,6,5587980,4,5,1,4.96,1,,,tertiary,5,"LINESTRING (-111.7983051 33.3466812, -111.7983058 33.3466365)",auto,1,0,,
South Neely Street,7,5587980,5,4,1,4.96,1,,,tertiary,5,"LINESTRING (-111.7983058 33.3466365, -111.7983051 33.3466812)",auto,1,0,,
South Neely Street,8,5587980,5,6,1,74.85,1,,,tertiary,5,"LINESTRING (-111.7983058 33.3466365, -111.7983107 33.3462799, -111.7983145 33.3459614)",auto,1,0,,
South Neely Street,9,5587980,6,5,1,74.85,1,,,tertiary,5,"LINESTRING (-111.7983145 33.3459614, -111.7983107 33.3462799, -111.7983058 33.3466365)",auto,1,0,,
South Neely Street,10,5587980,6,7,1,76.71,1,,,tertiary,5,"LINESTRING (-111.7983145 33.3459614, -111.7983185 33.3455073, -111.7983471 33.3452707)",auto,1,0,,
South Neely Street,11,5587980,7,6,1,76.71,1,,,tertiary,5,"LINESTRING (-111.7983471 33.3452707, -111.7983185 33.3455073, -111.7983145 33.3459614)",auto,1,0,,
South Neely Street,12,5587980,7,8,1,102.03,1,,,tertiary,5,"LINESTRING (-111.7983471 33.3452707, -111.7984587 33.3449062, -111.7986904 33.3444115, -111.7986958 33.3444000)",auto,1,0,,
South Neely Street,13,5587980,8,7,1,102.03,1,,,tertiary,5,"LINESTRING (-111.7986958 33.3444000, -111.7986904 33.3444115, -111.7984587 33.3449062, -111.7983471 33.3452707)",auto,1,0,,
West Aviary Way,14,5588328,9,10,1,238.31,1,40,,residential,6,"LINESTRING (-111.7983355 33.3533825, -111.7984777 33.3533835, -111.7995988 33.3533782, -111.8008219 33.3533723, -111.8008852 33.3533388)",auto,1,0,,
West Aviary Way,15,5588328,10,9,1,238.31,1,40,,residential,6,"LINESTRING (-111.8008852 33.3533388, -111.8008219 33.3533723, -111.7995988 33.3533782, -111.7984777 33.3533835, -111.7983355 33.3533825)",auto,1,0,,
West Aviary Way,16,5588329,11,12,1,221.96,1,40,,residential,6,"LINESTRING (-111.8070263 33.3532826, -111.8057179 33.3532899, -111.8047050 33.3532970, -111.8046435 33.3532814)",auto,1,0,,
West Aviary Way,17,5588329,12,11,1,221.96,1,40,,residential,6,"LINESTRING (-111.8046435 33.3532814, -111.8047050 33.3532970, -111.8057179 33.3532899, -111.8070263 33.3532826)",auto,1,0,,
