name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,41493826,,,,,,,-111.786037,33.3584223,,,
,1,,,,,,,,-111.7832,33.3601748,,,boundary node created by osm2gmns
,2,5203828156,,,,,,,-111.7982926,33.3496796,,,
,3,41500426,,,,,,,-111.798293,33.3494589,,,
,4,41500429,,,,,,,-111.7983051,33.3466812,,,
,5,7142064698,,,,,,,-111.7983058,33.3466365,,,
,6,41500433,,,,,,,-111.7983145,33.3459614,,,
,7,41500436,,,,,,,-111.7983471,33.3452707,,,
,8,,,,,,,,-111.7986958,33.3444,,,boundary node created by osm2gmns
,9,41503501,,,,,,,-111.7983355,33.3533825,,,
,10,41503504,,,,,,,-111.8008852,33.3533388,,,
,11,41503510,,,,,,,-111.8070263,33.3532826,,,
,12,41503515,,,,,,,-111.8046435,33.3532814,,,
,13,41503520,,,,,,,-111.8009037,33.3530664,,,
,14,41503522,,,,,,,-111.8046283,33.3530394,,,
,15,41504101,,,,,,,-111.7854137,33.3556877,,,
,16,3688113777,,,,,,,-111.7842962,33.3555293,,,
,17,,,,,,,,-111.7832,33.3549085,,,boundary node created by osm2gmns
,18,41508824,turning_circle,,,,,,-111.7944592,33.3639739,,,
,19,41508825,,,,,,,-111.7954387,33.3639503,,,
,20,41508829,,,,,,,-111.7962627,33.3639503,,,
,21,41508831,,,,,,,-111.7970695,33.3639503,,,
,22,41508834,,,,,,,-111.7977218,33.3637711,,,
,23,41508837,turning_circle,,,,,,-111.7979278,33.3639288,,,
,24,41511379,,,,,,,-111.8018063,33.3676369,,,
,25,41511381,,,,,,,-111.8020003,33.36825,,,
,26,,,,,,,,-111.8023304,33.3686,,,boundary node created by osm2gmns
,27,,,,,,,,-111.8055606,33.3686,,,boundary node created by osm2gmns
,28,41511394,,,,,,,-111.807138,33.3685448,,,
,29,41513325,turning_circle,,,,,,-111.8033856,33.3649488,,,
,30,41513327,,,,,,,-111.8032225,33.3656943,,,
,31,41513329,,,,,,,-111.8028586,33.3663576,,,
,32,41513332,,,,,,,-111.8024638,33.3670959,,,
,33,41513335,turning_circle,,,,,,-111.8024896,33.3679274,,,
,34,41528000,,,,,,,-111.8008911,33.3510511,,,
,35,41528001,turning_circle,,,,,,-111.7989957,33.3510615,,,
,36,41534221,turning_circle,,,,,,-111.8114547,33.3504681,,,
,37,41534222,turning_circle,,,,,,-111.8114536,33.3512873,,,
,38,41534225,turning_circle,,,,,,-111.8114622,33.3528144,,,
,39,41534227,,,,,,,-111.8114622,33.3520688,,,
,40,41534230,turning_circle,,,,,,-111.8114794,33.3550369,,,
,41,41534233,,,,,,,-111.8114633,33.3542916,,,
,42,41534235,turning_circle,,,,,,-111.8114794,33.3535529,,,
,43,41534792,,,,,,,-111.8070563,33.3581892,,,
